True_Formula,Cosine_Similarity,Element_Recall,MAE
Y1Ba2Cu3.9Fe0.1O8,0.048040531737287805,0.2,0.022245219169806485
Y1Ba2Cu2.85Ni0.101Zn0.049O7,0.008386184013991922,0.16666666666666666,0.0225506993006993
Ir0.26Mo0.74,0.0,0.0,0.022727272727272728
Hg0.92Ba2.05Cu1.03O4.103,0.0,0.0,0.022727272727272728
Gd0.8Pr0.2Ba2Cu3O,0.0,0.0,0.022727272727272728
Ti55Nb30Si15,0.038789424622423116,0.3333333333333333,0.022048299648766242
Ga1Sr2Tm0.7Ca0.3Cu2O7,0.0,0.0,0.022727272727272728
C0.9N0.1Sr2Cu1O5.35,0.12257264008111055,0.4,0.021358461356092873
Y1Ba2Cu3O6050,0.0,0.0,0.022727272727272728
Ho0.01La0.99,0.0,0.0,0.022727272727272728
Gd1Ba2Cu2.9Ga0.1O7,0.0,0.0,0.022727272727272728
Hg1Ba2Ca1Cu2O6.22,0.03625578279210583,0.2,0.020867430441898527
Nd1Fe0.85Rh0.15As1O1,0.07023652201594115,0.2,0.021639185440299406
In0.06Sn0.94Te1.01,0.3206548472275066,1.0,0.02007848961180495
Y1Ni1.9Fe0.1B2C1,0.09388679202184025,0.4,0.021732332356586958
Zr0.87Ge0.13,0.028582540865001307,0.5,0.02192847932391039
Nb0.72Pd0.18W0.1,0.03653243474344861,0.3333333333333333,0.022058432438100604
Ba1Cs1Fe4As4,0.0,0.0,0.022727272727272724
La0.98Nd0.02,0.0,0.0,0.022727272727272728
Pr0.95Eu0.05Pt4Ge12,0.11636209703946286,0.25,0.02215596341554623
Hg1Ba2Cu1O4.18,0.07466021834736718,0.25,0.022051349240698345
Mo1Sr2Ho1Cu2O8,0.1479772266405361,0.4,0.018272880265255424
Nb2.85Ta0.15Al1,0.0,0.0,0.022727272727272728
Ta0.7V0.3,0.0,0.0,0.022727272727272724
Hg1Ba2Ca1Cu2FO6,0.03746126784474761,0.16666666666666666,0.02097902097902098
Bi2Sr2Ca1Cu1.4Li0.6O,0.09879747715432373,0.3333333333333333,0.021918909245915604
Sm0.9Ca0.1Ba2Cu2.8Zn0.2O6.85,0.0,0.0,0.022727272727272728
Er0.6Y0.4Pd2Sn1,0.2496974036943675,0.5,0.021089517071759475
Au1Sb2,0.21556580555781,0.5,0.021610915125656896
Lu1.9Y0.1Fe3Si5,0.1519117523544419,0.25,0.021968306273311314
Ce1Bi1S2F0.7O0.35,0.20659455762822762,0.6,0.021036018644378682
W1,0.0,0.0,0.022727272727272728
La1Se1,0.14386102460194972,0.5,0.021804576178448568
Tl2Ca1Ba2Cu2O,0.14846927259899778,0.4,0.02063934063933598
Y5Os4Si15,0.0,0.0,0.022727272727272728
Cu0.9C0.1Ba2Ca3Cu4O,0.24675380374472156,0.4,0.01918634661816165
Bi1.34Pb0.66Sr2Ca1Cu2O,0.0,0.0,0.022727272727272728
Ba1.6Sr0.4Yb1Cu3O6,0.02815491722058044,0.4,0.022108409714088832
Pd2Hf0.5Y0.5Al1,0.2638023504965085,0.5,0.021004861298349022
Y0.8Ca0.2Ba2Cu3O6.49,0.0,0.0,0.022727272727272728
Bi2Sr2Ca0.55Y0.45Cu2O8,0.0,0.0,0.022727272727272728
Re0.35Mo0.65,0.0,0.0,0.022727272727272728
Au64Ge22Yb14,0.03973004600547019,0.3333333333333333,0.022152104914607496
Tb2Cu0.83Pd0.17O4,0.002909967026429113,0.25,0.022343904259493393
